Email,Employee ID,First Name,Last Name,Department,Manager,Last Login(UTC),Last Client Version,LicenseType,LoginType,UserStatus,Location,Region,Join Date
user0@globalenterprise.com,E00000,User0,Test,Operations,Manager95,2024-01-02,5.17.10,Licensed,SSO,Active,Global,APAC,2023-04-25
user1@globalenterprise.com,E00001,User1,Test,Banking & Finance,Manager18,2024-01-09,5.17.10,Licensed,SSO,Active,Global,APAC,2023-09-08
user2@globalenterprise.com,E00002,User2,Test,Operations,Manager95,2024-01-23,5.17.10,Licensed,SSO,Active,Global,APAC,2023-04-15
user3@globalenterprise.com,E00003,User3,Test,HR,Manager55,2024-01-20,5.17.10,Licensed,SSO,Active,Global,APAC,2023-03-31
user4@globalenterprise.com,E00004,User4,Test,ICTS,Manager28,2024-01-04,5.17.10,Licensed,SSO,Active,Global,APAC,2023-01-31
user5@globalenterprise.com,E00005,User5,Test,Manufacturing,Manager4,2024-01-21,5.17.10,Licensed,SSO,Active,Global,APAC,2024-06-01
user6@globalenterprise.com,E00006,User6,Test,HR,Manager84,2024-01-24,5.17.10,Licensed,SSO,Active,Global,APAC,2023-07-23
user7@globalenterprise.com,E00007,User7,Test,Operations,Manager29,2024-01-15,5.17.10,Licensed,SSO,Active,Global,APAC,2024-07-12
user8@globalenterprise.com,E00008,User8,Test,Engineering,Manager1,2024-01-27,5.17.10,Licensed,SSO,Active,Global,APAC,2023-10-12
user9@globalenterprise.com,E00009,User9,Test,Manufacturing,Manager36,2024-01-12,5.17.10,Licensed,SSO,Active,Global,APAC,2024-03-08
user10@globalenterprise.com,E00010,User10,Test,Manufacturing,Manager44,2024-01-26,5.17.10,Licensed,SSO,Active,Global,APAC,2023-08-09
user11@globalenterprise.com,E00011,User11,Test,ICTS,Manager13,2024-01-14,5.17.10,Licensed,SSO,Active,Global,APAC,2023-04-05
user12@globalenterprise.com,E00012,User12,Test,Banking & Finance,Manager34,2024-01-21,5.17.10,Licensed,SSO,Active,Global,APAC,2023-12-19
user13@globalenterprise.com,E00013,User13,Test,ICTS,Manager16,2024-01-19,5.17.10,Licensed,SSO,Active,Global,APAC,2024-04-15
user14@globalenterprise.com,E00014,User14,Test,Engineering,Manager38,2024-01-19,5.17.10,Licensed,SSO,Active,Global,APAC,2023-03-22
user15@globalenterprise.com,E00015,User15,Test,Operations,Manager25,2024-01-20,5.17.10,Licensed,SSO,Active,Global,APAC,2024-01-06
user16@globalenterprise.com,E00016,User16,Test,Operations,Manager85,2024-01-03,5.17.10,Licensed,SSO,Active,Global,APAC,2023-03-13
user17@globalenterprise.com,E00017,User17,Test,Manufacturing,Manager30,2024-01-04,5.17.10,Licensed,SSO,Active,Global,APAC,2023-10-24
user18@globalenterprise.com,E00018,User18,Test,ICTS,Manager59,2024-01-10,5.17.10,Licensed,SSO,Active,Global,APAC,2024-01-25
user19@globalenterprise.com,E00019,User19,Test,Operations,Manager48,2024-01-07,5.17.10,Licensed,SSO,Active,Global,APAC,2024-01-09
user20@globalenterprise.com,E00020,User20,Test,Banking & Finance,Manager35,2024-01-23,5.17.10,Licensed,SSO,Active,Global,APAC,2023-08-03
user21@globalenterprise.com,E00021,User21,Test,Operations,Manager82,2024-01-21,5.17.10,Licensed,SSO,Active,Global,APAC,2023-03-15
user22@globalenterprise.com,E00022,User22,Test,Manufacturing,Manager32,2024-01-25,5.17.10,Licensed,SSO,Active,Global,APAC,2024-06-30
user23@globalenterprise.com,E00023,User23,Test,Manufacturing,Manager35,2024-01-14,5.17.10,Licensed,SSO,Active,Global,APAC,2024-04-18
user24@globalenterprise.com,E00024,User24,Test,Operations,Manager88,2024-01-09,5.17.10,Licensed,SSO,Active,Global,APAC,2024-07-24
user25@globalenterprise.com,E00025,User25,Test,Banking & Finance,Manager5,2024-01-09,5.17.10,Licensed,SSO,Active,Global,APAC,2023-02-27
user26@globalenterprise.com,E00026,User26,Test,Banking & Finance,Manager9,2024-01-10,5.17.10,Licensed,SSO,Active,Global,APAC,2024-02-15
user27@globalenterprise.com,E00027,User27,Test,Manufacturing,Manager41,2024-01-24,5.17.10,Licensed,SSO,Active,Global,APAC,2024-08-03
user28@globalenterprise.com,E00028,User28,Test,Manufacturing,Manager83,2024-01-14,5.17.10,Licensed,SSO,Active,Global,APAC,2024-05-26
user29@globalenterprise.com,E00029,User29,Test,Engineering,Manager18,2024-01-10,5.17.10,Licensed,SSO,Active,Global,APAC,2023-05-27
user30@globalenterprise.com,E00030,User30,Test,Manufacturing,Manager34,2024-01-19,5.17.10,Licensed,SSO,Active,Global,APAC,2024-07-28
