Meeting ID,Host,Feature,Event Type,Event time,View Count,Regeneration Count
M05000001,user1111@globalenterprise.com,Summary,Generated,2024-05-21 00:34:00,3,2
M05000002,user5553@globalenterprise.com,Summary,Generated,2024-05-13 01:00:00,4,1
M05000003,user1903@globalenterprise.com,Summary,Generated,2024-05-23 00:48:00,5,1
M05000004,user3827@globalenterprise.com,Summary,Generated,2024-05-14 00:33:00,4,1
M05000005,user7429@globalenterprise.com,Summary,Generated,2024-05-16 00:20:00,2,3
M05000006,user1690@globalenterprise.com,Summary,Generated,2024-05-12 01:35:00,2,2
M05000008,user2580@globalenterprise.com,Summary,Generated,2024-05-12 00:49:00,2,3
M05000009,user447@globalenterprise.com,Summary,Generated,2024-05-13 01:11:00,2,3
M05000010,user1960@globalenterprise.com,Summary,Generated,2024-05-06 01:24:00,2,2
M05000012,user7762@globalenterprise.com,Summary,Generated,2024-05-23 01:19:00,2,1
M05000014,user7639@globalenterprise.com,Summary,Generated,2024-05-04 01:54:00,5,1
M05000016,user629@globalenterprise.com,Summary,Generated,2024-05-19 01:00:00,4,3
M05000017,user1082@globalenterprise.com,Summary,Generated,2024-05-22 01:27:00,2,2
M05000018,user7299@globalenterprise.com,Summary,Generated,2024-05-17 00:20:00,4,3
M05000020,user4733@globalenterprise.com,Summary,Generated,2024-05-23 00:48:00,5,1
M05000021,user515@globalenterprise.com,Summary,Generated,2024-05-09 00:27:00,3,3
M05000026,user5045@globalenterprise.com,Summary,Generated,2024-05-25 01:39:00,4,1
M05000027,user3457@globalenterprise.com,Summary,Generated,2024-05-04 00:34:00,5,3
M05000028,user5185@globalenterprise.com,Summary,Generated,2024-05-19 01:46:00,3,1
M05000030,user4253@globalenterprise.com,Summary,Generated,2024-05-26 00:57:00,4,3
M05000031,user4132@globalenterprise.com,Summary,Generated,2024-05-24 00:25:00,3,3
M05000034,user7346@globalenterprise.com,Summary,Generated,2024-05-05 01:41:00,3,3
M05000035,user6062@globalenterprise.com,Summary,Generated,2024-05-05 01:30:00,2,2
M05000036,user839@globalenterprise.com,Summary,Generated,2024-05-07 00:30:00,2,3
M05000037,user7341@globalenterprise.com,Summary,Generated,2024-05-09 00:45:00,2,3
M05000038,user3021@globalenterprise.com,Summary,Generated,2024-05-22 01:27:00,5,1
M05000039,user6910@globalenterprise.com,Summary,Generated,2024-05-10 01:29:00,4,1
M05000041,user4116@globalenterprise.com,Summary,Generated,2024-05-13 01:13:00,3,2
M05000042,user1092@globalenterprise.com,Summary,Generated,2024-05-06 01:18:00,4,3
M05000043,user5016@globalenterprise.com,Summary,Generated,2024-05-05 00:46:00,5,1
M05000044,user7354@globalenterprise.com,Summary,Generated,2024-05-11 00:41:00,4,3
M05000047,user2556@globalenterprise.com,Summary,Generated,2024-05-25 01:50:00,4,3
M05000049,user2750@globalenterprise.com,Summary,Generated,2024-05-22 00:31:00,2,3
M05000050,user21@globalenterprise.com,Summary,Generated,2024-05-28 02:00:00,5,3
M05000051,user3064@globalenterprise.com,Summary,Generated,2024-05-11 00:59:00,4,1
M05000052,user7302@globalenterprise.com,Summary,Generated,2024-05-11 01:16:00,3,1
M05000054,user7549@globalenterprise.com,Summary,Generated,2024-05-27 00:48:00,3,3
M05000055,user6661@globalenterprise.com,Summary,Generated,2024-05-18 01:25:00,2,1
M05000056,user3525@globalenterprise.com,Summary,Generated,2024-05-27 01:13:00,5,2
M05000058,user7521@globalenterprise.com,Summary,Generated,2024-05-22 00:30:00,5,3
M05000059,user1190@globalenterprise.com,Summary,Generated,2024-05-28 00:50:00,5,1
M05000063,user2742@globalenterprise.com,Summary,Generated,2024-05-25 01:14:00,4,3
M05000064,user5471@globalenterprise.com,Summary,Generated,2024-05-23 01:50:00,2,3
M05000066,user7347@globalenterprise.com,Summary,Generated,2024-05-07 01:26:00,4,3
M05000070,user523@globalenterprise.com,Summary,Generated,2024-05-20 01:40:00,5,1
M05000071,user496@globalenterprise.com,Summary,Generated,2024-05-27 00:59:00,4,1
M05000072,user5014@globalenterprise.com,Summary,Generated,2024-05-02 01:52:00,2,3
M05000073,user6562@globalenterprise.com,Summary,Generated,2024-05-08 01:45:00,5,3
M05000074,user1205@globalenterprise.com,Summary,Generated,2024-05-03 01:44:00,2,3
M05000075,user1188@globalenterprise.com,Summary,Generated,2024-05-23 01:10:00,3,3
M05000076,user1079@globalenterprise.com,Summary,Generated,2024-05-25 00:57:00,3,3
M05000079,user4567@globalenterprise.com,Summary,Generated,2024-05-10 00:40:00,3,1
M05000080,user690@globalenterprise.com,Summary,Generated,2024-05-14 01:12:00,5,3
M05000081,user3443@globalenterprise.com,Summary,Generated,2024-05-19 00:22:00,4,1
M05000082,user3157@globalenterprise.com,Summary,Generated,2024-05-10 01:33:00,4,1
M05000084,user3384@globalenterprise.com,Summary,Generated,2024-05-20 01:27:00,2,3
M05000085,user2999@globalenterprise.com,Summary,Generated,2024-05-16 00:34:00,3,1
M05000088,user3435@globalenterprise.com,Summary,Generated,2024-05-25 00:21:00,2,1
